,meter3
1347108120,3.0000000000e+01
1347108180,3.0000000000e+01
1347108240,3.0019079500e+01
1347108300,6.0000000000e+01
1347108360,5.9969252500e+01
1347108420,3.0143090000e+01
1347108480,5.9964157000e+01
1347108540,3.0002870500e+01
1347108600,5.9956211500e+01
1347108660,3.0000000000e+01
1347108720,3.0000000000e+01
1347108780,3.0000000000e+01
1347108840,4.5027590500e+01
1347108900,4.5027590500e+01
1347108960,3.0141187000e+01
1347109020,2.9946062500e+01
1347109080,1.1138800000e-01
1347109140,5.9823135500e+01
1347109200,3.0000000000e+01
1347109260,3.0000000000e+01
1347109320,3.0000000000e+01
1347109380,3.0000000000e+01
1347109440,3.0000000000e+01
1347109500,3.0000000000e+01
1347109560,1.4959489000e+01
1347109620,1.4959489000e+01
1347109680,5.9732943000e+01
1347109740,8.8878500000e-02
1347109800,3.0000000000e+01
1347109860,3.0095837500e+01
1347109920,4.4952197250e+01
1347109980,4.4952197250e+01
1347110040,2.6110800000e-01
1347110100,5.9290133000e+01
1347110160,7.4312850000e-01
1347110220,8.9874242500e+01
1347110280,9.0126981000e+01
1347110340,9.0126981000e+01
1347110400,1.2000000000e+02
1347110460,1.2000000000e+02
1347110520,1.2000000000e+02
1347110580,1.1986130750e+02
1347110640,9.0000000000e+01
1347110700,8.9995311500e+01
1347110760,6.0142623500e+01
1347110820,9.0147111000e+01
1347110880,1.1984532550e+02
1347110940,8.9935416500e+01
1347111000,6.0151600500e+01
1347111060,8.9985387000e+01
1347111120,6.0283066500e+01
1347111180,8.9674459000e+01
1347111240,3.0166314500e+01
1347111300,5.9666128000e+01
1347111360,3.4116600000e-01
1347111420,5.9854014500e+01
1347111480,2.9825046500e+01
1347111540,1.8092650000e-01
1347111600,3.0000000000e+01
1347111660,3.0185773500e+01
1347111720,5.9813072000e+01
1347111780,3.0000000000e+01
1347111840,3.0000000000e+01
1347111900,3.0000000000e+01
1347111960,3.0000000000e+01
1347112020,3.0000000000e+01
1347112080,3.0000000000e+01
1347112140,2.9928940500e+01
1347112200,3.2777550000e-01
1347112260,3.0000000000e+01
1347112320,3.0000000000e+01
1347112380,3.0000000000e+01
1347112440,3.0000000000e+01
1347112500,3.0000000000e+01
1347112560,3.0000000000e+01
1347112620,2.9517026000e+01
1347112680,4.9395400000e-01
1347112740,5.9747511500e+01
1347112800,2.9744731500e+01
1347112860,2.1361300000e-01
1347112920,5.9475703000e+01
1347112980,3.0264562000e+01
1347113040,3.0264562000e+01
1347113100,3.0035600000e-01
1347113160,3.0000000000e+01
1347113220,3.0000000000e+01
1347113280,3.0000000000e+01
1347113340,3.0000000000e+01
1347113400,3.0000000000e+01
1347113460,3.0000000000e+01
1347113520,3.0000000000e+01
1347113580,3.0154826000e+01
1347113640,6.0000000000e+01
1347113700,6.0289041000e+01
1347113760,9.0000000000e+01
1347113820,8.9707183500e+01
1347113880,6.0301042000e+01
1347113940,8.9830772000e+01
1347114000,6.0000000000e+01
1347114060,6.0000000000e+01
1347114120,6.0000000000e+01
1347114180,6.0431063500e+01
1347114240,8.9679633000e+01
1347114300,6.0000000000e+01
1347114360,6.7689601500e+01
1347114420,7.4195648400e+02
1347114480,3.0000000000e+01
1347114540,3.0000000000e+01
1347114600,3.0688363000e+01
1347114660,9.0338678000e+01
1347114720,1.1930260900e+02
1347114780,6.0356978500e+01
1347114840,8.9642125000e+01
1347114900,6.0000000000e+01
1347114960,6.0000000000e+01
1347115020,6.0000000000e+01
1347115080,6.0000000000e+01
1347115140,6.0000000000e+01
1347115200,6.0367925000e+01
1347115260,8.9516127000e+01
1347115320,5.9624930500e+01
1347115380,3.0495177000e+01
1347115440,9.0000000000e+01
1347115500,8.9617879000e+01
1347115560,6.0381178500e+01
1347115620,9.0000000000e+01
1347115680,9.0000000000e+01
1347115740,8.9801254500e+01
1347115800,6.0796963000e+01
1347115860,1.1880469050e+02
1347115920,3.0518732000e+01
1347115980,5.9592045500e+01
1347116040,2.9475822000e+01
1347116100,5.6987400000e-01
1347116160,5.8940691000e+01
1347116220,6.7249350000e-01
1347116280,3.0000000000e+01
1347116340,3.0000000000e+01
1347116400,3.0437077000e+01
1347116460,5.9703599000e+01
1347116520,3.0000000000e+01
1347116580,3.0892232000e+01
1347116640,9.0000000000e+01
