,total
1347119280,9.0000000000e+01
1347119340,8.9455342500e+01
1347119400,6.0568569000e+01
1347119460,8.9427576500e+01
1347119520,6.0573017000e+01
1347119580,9.0578151000e+01
1347119640,1.1941609450e+02
1347119700,8.9671494500e+01
1347119760,5.9414333000e+01
1347119820,3.0000000000e+01
1347119880,3.0000000000e+01
1347119940,3.0000000000e+01
1347120000,3.0000000000e+01
1347120060,3.0354532000e+01
1347120120,6.0000000000e+01
1347120180,6.0000000000e+01
1347120240,6.1463310000e+01
1347120300,1.1877092800e+02
1347120360,6.0624578000e+01
1347120420,8.9529445000e+01
1347120480,5.9364929000e+01
1347120540,3.1898473500e+01
1347120600,1.1935963150e+02
1347120660,8.9356933000e+01
1347120720,6.0000000000e+01
1347120780,6.0498508500e+01
1347120840,8.9348772500e+01
1347120900,5.9341694500e+01
1347120960,3.0000000000e+01
1347121020,3.0662472500e+01
1347121080,5.9215187000e+01
1347121140,3.0000000000e+01
1347121200,3.0000000000e+01
1347121260,3.0667079000e+01
1347121320,5.9216400000e+01
1347121380,3.0000000000e+01
1347121440,3.0789258000e+01
1347121500,5.9477902500e+01
1347121560,2.9327250500e+01
1347121620,6.8367200000e-01
1347121680,3.0000000000e+01
1347121740,3.0000000000e+01
1347121800,3.0000000000e+01
1347121860,3.0000000000e+01
1347121920,3.0687146500e+01
1347121980,6.9813104000e+01
1347122040,5.2159455750e+02
1347122100,2.1977046440e+03
1347122160,3.0000000000e+01
1347122220,3.0000000000e+01
1347122280,3.0000000000e+01
1347122340,3.0000000000e+01
1347122400,2.9276865000e+01
1347122460,7.3471000000e-01
1347122520,3.0000000000e+01
1347122580,3.0590510500e+01
1347122640,5.9256312000e+01
1347122700,3.0000000000e+01
1347122760,3.2259213000e+01
1347122820,1.1849806100e+02
1347122880,6.0000000000e+01
1347122940,6.0592767000e+01
1347123000,9.0000000000e+01
1347123060,9.0000000000e+01
1347123120,9.0000000000e+01
1347123180,9.0821963000e+01
1347123240,1.1909737000e+02
1347123300,9.0000000000e+01
1347123360,9.0000000000e+01
1347123420,9.0000000000e+01
1347123480,9.0000000000e+01
1347123540,9.0776456000e+01
1347123600,1.2000000000e+02
1347123660,1.2000000000e+02
1347123720,1.2000000000e+02
1347123780,1.2079101400e+02
1347123840,1.4841656400e+02
1347123900,9.0000000000e+01
1347123960,9.0000000000e+01
1347124020,8.9333800500e+01
1347124080,6.0790762500e+01
1347124140,8.8949297500e+01
1347124200,6.0804818500e+01
1347124260,8.9063141000e+01
1347124320,5.9172153500e+01
1347124380,3.0647214500e+01
1347124440,6.0000000000e+01
1347124500,6.0000000000e+01
1347124560,6.0000000000e+01
1347124620,5.9286832500e+01
1347124680,3.0845189000e+01
1347124740,5.9306255500e+01
1347124800,3.0000000000e+01
1347124860,3.0725152500e+01
1347124920,5.9268993500e+01
1347124980,3.0732701500e+01
1347125040,6.2156392500e+01
1347125100,1.5000000000e+02
1347125160,1.4926029850e+02
1347125220,1.2223504950e+02
1347125280,2.0830519800e+02
1347125340,1.2074508000e+02
1347125400,1.4924703150e+02
1347125460,1.2073876650e+02
1347125520,1.5076327750e+02
1347125580,1.8000000000e+02
1347125640,1.7846879300e+02
1347125700,1.2154194400e+02
1347125760,1.8000000000e+02
1347125820,1.7853119700e+02
1347125880,1.2077966400e+02
1347125940,1.5000000000e+02
1347126000,1.5000000000e+02
1347126060,1.5000000000e+02
1347126120,1.4920697900e+02
1347126180,1.2228643950e+02
1347126240,2.0761135200e+02
1347126300,1.2159786600e+02
1347126360,1.7919329550e+02
1347126420,1.5079836250e+02
1347126480,1.7839183000e+02
1347126540,1.2092239600e+02
1347126600,1.4919363150e+02
1347126660,1.2246261000e+02
1347126720,2.0835780800e+02
1347126780,1.5189234400e+02
1347126840,2.1000000000e+02
1347126900,2.0905916100e+02
1347126960,1.8167155200e+02
1347127020,2.4083399350e+02
1347127080,2.6916773750e+02
1347127140,2.4000000000e+02
1347127200,2.4084490550e+02
1347127260,2.6918696700e+02
1347127320,2.4000000000e+02
1347127380,2.3915087900e+02
1347127440,2.1000000000e+02
1347127500,2.1086309950e+02
1347127560,2.3827081600e+02
1347127620,1.8000000000e+02
1347127680,1.8000000000e+02
1347127740,1.8087069450e+02
1347127800,2.1088113950e+02
1347127860,2.3824030600e+02
1347127920,1.8000000000e+02
1347127980,1.8000000000e+02
1347128040,1.7798768000e+02
1347128100,1.2089087600e+02
1347128160,1.5089289450e+02
1347128220,1.8088960750e+02
1347128280,2.0730948750e+02
1347128340,1.2176524400e+02
1347128400,1.8000000000e+02
1347128460,1.7909233100e+02
1347128520,1.5000000000e+02
1347128580,1.5090900000e+02
1347128640,1.8000000000e+02
1347128700,2.1002687900e+02
1347128760,1.1642835270e+03
1347128820,1.8000000000e+02
1347128880,1.7894355500e+02
1347128940,1.5186315900e+02
1347129000,2.1000000000e+02
1347129060,2.1092300450e+02
1347129120,2.3906300550e+02
1347129180,2.1000000000e+02
1347129240,2.0905235150e+02
1347129300,1.7904815400e+02
1347129360,1.5079275900e+02
1347129420,1.7906500550e+02
1347129480,1.5095926150e+02
1347129540,1.8000000000e+02
1347129600,1.7904034100e+02
1347129660,1.4903124900e+02
1347129720,1.2291240300e+02
1347129780,2.0904483450e+02
1347129840,1.8000000000e+02
1347129900,1.8000000000e+02
1347129960,1.8098363300e+02
1347130020,2.0779784400e+02
1347130080,1.5000000000e+02
1347130140,1.5000000000e+02
1347130200,1.5000000000e+02
1347130260,1.5300325800e+02
1347130320,2.3800410600e+02
1347130380,1.8301978800e+02
1347130440,2.6798388500e+02
1347130500,2.1000000000e+02
1347130560,2.0796865800e+02
1347130620,1.5101637850e+02
1347130680,1.8102466200e+02
1347130740,2.1000000000e+02
1347130800,2.5904208000e+02
1347130860,1.5919349190e+03
1347130920,1.2411524000e+02
1347130980,2.3767972500e+02
1347131040,1.8000000000e+02
1347131100,1.8000000000e+02
1347131160,1.7895284650e+02
1347131220,1.5102178150e+02
1347131280,1.7882400850e+02
1347131340,1.5210182500e+02
1347131400,2.1072795250e+02
1347131460,2.3788193000e+02
1347131520,1.8106363850e+02
1347131580,2.0801772500e+02
1347131640,1.5213538700e+02
1347131700,2.1214781600e+02
1347131760,2.6676885900e+02
1347131820,1.8215772400e+02
1347131880,2.3784147500e+02
1347131940,1.7681076150e+02
1347132000,9.1207622500e+01
1347132060,1.1783057500e+02
1347132120,6.1095213500e+01
1347132180,9.0000000000e+01
1347132240,8.8902968500e+01
1347132300,6.1082981500e+01
1347132360,8.8896981000e+01
1347132420,5.8892961500e+01
1347132480,3.1108668000e+01
1347132540,6.0000000000e+01
1347132600,6.1118656000e+01
1347132660,8.8903588000e+01
1347132720,5.8749123500e+01
1347132780,3.1103744000e+01
1347132840,5.8868942000e+01
1347132900,3.1135064500e+01
1347132960,6.0000000000e+01
1347133020,5.8905909000e+01
1347133080,3.2263754000e+01
1347133140,9.0000000000e+01
1347133200,8.8862110500e+01
1347133260,6.0000000000e+01
1347133320,6.1151030000e+01
1347133380,9.0000000000e+01
1347133440,9.0000000000e+01
1347133500,9.0000000000e+01
1347133560,9.0000000000e+01
1347133620,8.8831099000e+01
1347133680,6.1167823500e+01
1347133740,8.8842992500e+01
1347133800,6.3519307500e+01
1347133860,1.4764175000e+02
1347133920,9.0000000000e+01
1347133980,8.8815355500e+01
1347134040,6.0000000000e+01
1347134100,6.1172621500e+01
1347134160,8.8802256000e+01
1347134220,6.0000000000e+01
1347134280,5.8797887000e+01
1347134340,3.0000000000e+01
1347134400,3.0000000000e+01
1347134460,3.1166534500e+01
1347134520,5.8804201000e+01
